"","Non-heatwave days","Heatwaves","Low-intensity heatwaves","Severe heatwaves","Extreme heatwaves"
"Total","341 (-165 to 845)","13 (-53 to 64)","-2 (-32 to 26)","10 (-19 to 30)","4 (-9 to 10)"
"Melbourne","234 (-147 to 610)","-8 (-46 to 24)","-7 (-28 to 12)","-1 (-13 to 8)","0 (-8 to 5)"
"Sydney","107 (-234 to 429)","20 (-36 to 59)","5 (-17 to 25)","11 (-16 to 28)","4 (-6 to 7)"
