"City","Excess heat factor","RRfit","RRlow","RRhigh"
"Melbourne",-73.6,28.9358725996933,-13.4532417188286,92.0864463696622
"Melbourne",-73.5,28.8775307118558,-13.4275797713785,91.8557651330871
"Melbourne",-73.4,28.819227247273,-13.4019225774328,91.6254240565866
"Melbourne",-73.3,28.7609622836886,-13.3762702269135,91.3954230746205
"Melbourne",-73.2,28.7027358986782,-13.3506228097972,91.1657621201897
"Melbourne",-73.1,28.644548169649,-13.3249804161146,90.936441124843
"Melbourne",-73,28.5863991738412,-13.2993431359499,90.7074600186836
"Melbourne",-72.9,28.5282889883273,-13.2737110594408,90.4788187303758
"Melbourne",-72.8,28.4702176900127,-13.2480842767775,90.2505171871515
"Melbourne",-72.7,28.4121853556363,-13.2224628782025,90.0225553148165
"Melbourne",-72.6,28.3541920617705,-13.1968469540101,89.7949330377574
"Melbourne",-72.5,28.2962378848214,-13.1712365945456,89.5676502789479
"Melbourne",-72.4,28.2383229010295,-13.1456318902054,89.3407069599554
"Melbourne",-72.3,28.1804471864697,-13.1200329314359,89.1141030009475
"Melbourne",-72.2,28.1226108170515,-13.0944398087334,88.8878383206981
"Melbourne",-72.1,28.0648138685197,-13.0688526126435,88.6619128365944
"Melbourne",-72,28.0070564164542,-13.0432714337603,88.4363264646431
"Melbourne",-71.9,27.9493385362708,-13.0176963627265,88.2110791194768
"Melbourne",-71.8,27.8916603032212,-12.9921274902322,87.9861707143604
"Melbourne",-71.7,27.8340217923932,-12.9665649070149,87.7616011611977
"Melbourne",-71.6,27.7764230787114,-12.9410087038587,87.5373703705375
"Melbourne",-71.5,27.7188642369371,-12.915458971594,87.3134782515801
"Melbourne",-71.4,27.6613453416688,-12.8899158010966,87.0899247121838
"Melbourne",-71.3,27.6038664673427,-12.8643792832875,86.8667096588709
"Melbourne",-71.2,27.5464276882324,-12.8388495091323,86.6438329968346
"Melbourne",-71.1,27.4890290784498,-12.8133265696405,86.4212946299446
"Melbourne",-71,27.4316707119452,-12.7878105558651,86.1990944607539
"Melbourne",-70.9,27.3743526625075,-12.7623015589022,85.9772323905049
"Melbourne",-70.8,27.3170750037647,-12.73679966989,85.755708319136
"Melbourne",-70.7,27.259837809184,-12.7113049800085,85.5345221452871
"Melbourne",-70.6,27.2026411520723,-12.6858175804792,85.3136737663067
"Melbourne",-70.5,27.1454851055763,-12.660337562564,85.0931630782577
"Melbourne",-70.4,27.088369742683,-12.634865017565,84.8729899759234
"Melbourne",-70.3,27.0312951362199,-12.6094000368239,84.6531543528142
"Melbourne",-70.2,26.9742613588553,-12.5839427117212,84.4336561011736
"Melbourne",-70.1,26.9172684830988,-12.5584931336759,84.2144951119841
"Melbourne",-70,26.8603165813013,-12.5330513941446,83.9956712749737
"Melbourne",-69.9,26.8034057256554,-12.5076175846213,83.7771844786219
"Melbourne",-69.8,26.7465359881959,-12.4821917966365,83.5590346101657
"Melbourne",-69.7,26.6897074408,-12.4567741217566,83.3412215556062
"Melbourne",-69.6,26.6329201551874,-12.4313646515835,83.1237451997138
"Melbourne",-69.5,26.576174202921,-12.4059634777538,82.9066054260352
"Melbourne",-69.4,26.5194696554068,-12.3805706919383,82.689802116899
"Melbourne",-69.3,26.4628065838947,-12.3551863858413,82.4733351534218
"Melbourne",-69.2,26.4061850594782,-12.3298106512002,82.2572044155144
"Melbourne",-69.1,26.3496051530953,-12.3044435797844,82.0414097818872
"Melbourne",-69,26.2930669355284,-12.2790852633952,81.8259511300574
"Melbourne",-68.9,26.2365704774047,-12.2537357938648,81.6108283363536
"Melbourne",-68.8,26.1801158491968,-12.2283952630558,81.3960412759229
"Melbourne",-68.7,26.1237031212226,-12.2030637628607,81.1815898227362
"Melbourne",-68.6,26.0673323636459,-12.1777413852009,80.9674738495943
"Melbourne",-68.5,26.0110036464765,-12.1524282220265,80.753693228134
"Melbourne",-68.4,25.9547170395708,-12.1271243653149,80.5402478288339
"Melbourne",-68.3,25.8984726126317,-12.1018299070712,80.32713752102
"Melbourne",-68.2,25.8422704352093,-12.0765449393267,80.114362172872
"Melbourne",-68.1,25.7861105767011,-12.0512695541383,79.9019216514292
"Melbourne",-68,25.7299931063522,-12.0260038435883,79.689815822596
"Melbourne",-67.9,25.6739180932558,-12.0007478997833,79.4780445511477
"Melbourne",-67.8,25.6178856063533,-11.9755018148537,79.266607700737
"Melbourne",-67.7,25.5618957144347,-11.9502656809528,79.0555051338988
"Melbourne",-67.6,25.5059484861391,-11.9250395902565,78.8447367120567
"Melbourne",-67.5,25.4500439899547,-11.8998236349621,78.6343022955287
"Melbourne",-67.4,25.3941822942194,-11.874617907288,78.4242017435325
"Melbourne",-67.3,25.338363467121,-11.8494224994729,78.2144349141919
"Melbourne",-67.2,25.2825875766973,-11.8242375037747,78.005001664542
"Melbourne",-67.1,25.226854690837,-11.7990630124706,77.795901850535
"Melbourne",-67,25.1711648772793,-11.7738991178554,77.5871353270461
"Melbourne",-66.9,25.1155182036147,-11.7487459122415,77.378701947879
"Melbourne",-66.8,25.0599147372853,-11.723603487958,77.1706015657716
"Melbourne",-66.7,25.0043545455848,-11.6984719373496,76.9628340324016
"Melbourne",-66.6,24.9488376956591,-11.6733513527762,76.7553991983921
"Melbourne",-66.5,24.8933642545067,-11.6482418266123,76.5482969133176
"Melbourne",-66.4,24.8379342889785,-11.6231434512458,76.3415270257088
"Melbourne",-66.3,24.782547865779,-11.5980563190775,76.1350893830589
"Melbourne",-66.2,24.7272050514656,-11.5729805225203,75.9289838318289
"Melbourne",-66.1,24.6719059124496,-11.5479161539985,75.723210217453
"Melbourne",-66,24.6166505149966,-11.5228633059468,75.5177683843444
"Melbourne",-65.9,24.5614389252262,-11.4978220708098,75.3126581759006
"Melbourne",-65.8,24.5062712091128,-11.472792541041,75.107879434509
"Melbourne",-65.7,24.451147432486,-11.4477748091021,74.9034320015524
"Melbourne",-65.6,24.3960676610304,-11.4227689674622,74.6993157174142
"Melbourne",-65.5,24.3410319602866,-11.3977751085969,74.4955304214842
"Melbourne",-65.4,24.2860403956509,-11.3727933249877,74.2920759521639
"Melbourne",-65.3,24.2310930323761,-11.347823709121,74.0889521468718
"Melbourne",-65.2,24.1761899355714,-11.3228663534873,73.8861588420489
"Melbourne",-65.1,24.1213311702033,-11.2979213505804,73.683695873164
