"","Non-heatwave days","Heatwaves","Low-intensity heatwaves","Severe heatwaves","Extreme heatwaves"
"Total","26.2 (-29.3 to 79.9)","1.0 (-6.3 to 6.4)","-0.1 (-3.4 to 2.9)","0.8 (-2.2 to 2.8)","0.3 (-1.1 to 0.9)"
"Melbourne","18.0 (-11.3 to 47.0)","-0.6 (-3.5 to 1.9)","-0.5 (-2.1 to 0.9)","-0.1 (-1.0 to 0.6)","0.0 (-0.6 to 0.4)"
"Sydney","8.3 (-18.0 to 33.0)","1.6 (-2.8 to 4.6)","0.4 (-1.3 to 2.0)","0.9 (-1.2 to 2.2)","0.3 (-0.5 to 0.5)"
