"","Non-heatwave days","Heatwaves","Low-intensity heatwaves","Severe heatwaves","Extreme heatwaves"
"Total","58,184 (-29,404 to 147,846)","3,667 (-9,210 to 13,070)","259 (-5,097 to 5,140)","2,498 (-3,112 to 6,235)","910 (-1,685 to 2,064)"
"Melbourne","38,176 (-28,756 to 102,804)","-1,451 (-8,774 to 4,456)","-1,193 (-4,919 to 2,013)","-267 (-2,613 to 1,501)","9 (-1,825 to 1,067)"
"Sydney","20,008 (-35,381 to 75,173)","5,118 (-5,865 to 12,237)","1,452 (-2,572 to 5,071)","2,765 (-2,571 to 5,814)","901 (-1,109 to 1,289)"
