"City","Excess heat factor","RRfit","RRlow","RRhigh"
"Melbourne",-84.8,32.1369881429519,-24.831374568782,132.28020381279
"Melbourne",-84.7,32.0822900716057,-24.7928124242238,131.968936918191
"Melbourne",-84.6,32.0276147730757,-24.7542329148733,131.65809503872
"Melbourne",-84.5,31.9729623326283,-24.7156361570061,131.347678293096
"Melbourne",-84.4,31.918332835377,-24.6770222671438,131.037686797057
"Melbourne",-84.3,31.8637263662828,-24.638391362055,130.728120663376
"Melbourne",-84.2,31.8091430101536,-24.5997435587552,130.418980001871
"Melbourne",-84.1,31.7545828516451,-24.5610789745067,130.110264919414
"Melbourne",-84,31.7000459752607,-24.5223977268191,129.801975519947
"Melbourne",-83.9,31.6455324653515,-24.4836999334494,129.494111904489
"Melbourne",-83.8,31.5910424061169,-24.4449857124017,129.186674171151
"Melbourne",-83.7,31.5365758816043,-24.4062551819278,128.879662415146
"Melbourne",-83.6,31.4821329757094,-24.3675084605272,128.573076728799
"Melbourne",-83.5,31.4277137721765,-24.3287456669474,128.266917201561
"Melbourne",-83.4,31.3733183545988,-24.2899669201834,127.961183920019
"Melbourne",-83.3,31.3189468064181,-24.2511723394786,127.655876967907
"Melbourne",-83.2,31.2645992109253,-24.2123620443244,127.35099642612
"Melbourne",-83.1,31.2102756512605,-24.1735361544607,127.04654237272
"Melbourne",-83,31.1559762104132,-24.1346947898755,126.742514882954
"Melbourne",-82.9,31.1017009712224,-24.0958380708056,126.438914029259
"Melbourne",-82.8,31.0474500163769,-24.0569661177361,126.135739881279
"Melbourne",-82.7,30.9932234284153,-24.0180790514013,125.832992505873
"Melbourne",-82.6,30.9390212897262,-23.9791769927837,125.530671967125
"Melbourne",-82.5,30.8848436825485,-23.9402600631154,125.22877832636
"Melbourne",-82.4,30.8306906889717,-23.901328383877,124.927311642151
"Melbourne",-82.3,30.7765623909354,-23.8623820767984,124.626271970331
"Melbourne",-82.2,30.7224588702304,-23.8234212638587,124.325659364007
"Melbourne",-82.1,30.6683802084982,-23.7844460672864,124.025473873568
"Melbourne",-82,30.6143264872314,-23.7454566095591,123.725715546698
"Melbourne",-81.9,30.5602977877739,-23.7064530134042,123.426384428385
"Melbourne",-81.8,30.506294191321,-23.6674354017982,123.127480560936
"Melbourne",-81.7,30.4523157789198,-23.6284038979676,122.829003983984
"Melbourne",-81.6,30.3983626314689,-23.5893586253885,122.530954734504
"Melbourne",-81.5,30.3444348297192,-23.5502997077865,122.233332846817
"Melbourne",-81.4,30.2905324542735,-23.5112272691373,121.93613835261
"Melbourne",-81.3,30.236655585587,-23.4721414336662,121.639371280939
"Melbourne",-81.2,30.1828043039675,-23.4330423258488,121.343031658244
"Melbourne",-81.1,30.1289786895754,-23.3939300704103,121.047119508362
"Melbourne",-81,30.075178822424,-23.3548047923261,120.751634852534
"Melbourne",-80.9,30.0214047823797,-23.3156666168217,120.456577709416
"Melbourne",-80.8,29.9676566491619,-23.2765156693728,120.161948095096
"Melbourne",-80.7,29.9139345023437,-23.2373520757051,119.867746023097
"Melbourne",-80.6,29.8602384213517,-23.1981759617947,119.573971504393
"Melbourne",-80.5,29.8065684854662,-23.1589874538678,119.28062454742
"Melbourne",-80.4,29.7529247738215,-23.1197866784009,118.987705158084
"Melbourne",-80.3,29.699307365406,-23.080573762121,118.695213339775
"Melbourne",-80.2,29.6457163390625,-23.0413488320052,118.403149093376
"Melbourne",-80.1,29.5921517734884,-23.0021120152811,118.111512417273
"Melbourne",-80,29.5386137472354,-22.9628634394266,117.820303307371
"Melbourne",-79.9,29.4851023387105,-22.9236032321701,117.529521757098
"Melbourne",-79.8,29.4316176261757,-22.8843315214904,117.23916775742
"Melbourne",-79.7,29.3781596877479,-22.8450484356166,116.949241296853
"Melbourne",-79.6,29.3247286013998,-22.8057541030283,116.659742361468
"Melbourne",-79.5,29.2713244449596,-22.7664486524555,116.37067093491
"Melbourne",-79.4,29.2179472961113,-22.7271322128788,116.082026998401
"Melbourne",-79.3,29.164597232395,-22.6878049135291,115.793810530757
"Melbourne",-79.2,29.1112743312067,-22.6484668838876,115.506021508393
"Melbourne",-79.1,29.057978669799,-22.609118253686,115.218659905339
"Melbourne",-79,29.004710325281,-22.5697591529065,114.931725693248
"Melbourne",-78.9,28.9514693746187,-22.5303897117815,114.645218841407
"Melbourne",-78.8,28.8982558946347,-22.4910100607938,114.359139316748
"Melbourne",-78.7,28.845069962009,-22.4516203306767,114.073487083858
"Melbourne",-78.6,28.7919116532789,-22.4122206524136,113.788262104991
"Melbourne",-78.5,28.7387810448391,-22.3728111572381,113.503464340077
"Melbourne",-78.4,28.6856782129421,-22.3333919766342,113.219093746734
"Melbourne",-78.3,28.6326032336982,-22.293963242336,112.935150280279
"Melbourne",-78.2,28.5795561830759,-22.2545250863279,112.651633893735
"Melbourne",-78.1,28.5265371369019,-22.215077640844,112.368544537847
"Melbourne",-78,28.4735461708614,-22.175621038369,112.085882161089
"Melbourne",-77.9,28.4205833604981,-22.136155411637,111.803646709675
"Melbourne",-77.8,28.367648781215,-22.0966808936325,111.521838127568
"Melbourne",-77.7,28.3147425082737,-22.0571976175897,111.240456356496
"Melbourne",-77.6,28.2618646167952,-22.0177057169924,110.959501335957
"Melbourne",-77.5,28.20901518176,-21.9782053255745,110.678973003229
"Melbourne",-77.4,28.1561942780083,-21.9386965773192,110.398871293387
"Melbourne",-77.3,28.10340198024,-21.8991796064597,110.119196139305
"Melbourne",-77.2,28.0506383630151,-21.8596545474781,109.839947471674
"Melbourne",-77.1,27.9979035007538,-21.8201215351066,109.561125219007
"Melbourne",-77,27.9451974677367,-21.7805807043261,109.282729307651
"Melbourne",-76.9,27.8925203381051,-21.7410321903672,109.004759661797
"Melbourne",-76.8,27.8398721858612,-21.7014761287093,108.727216203494
"Melbourne",-76.7,27.787253084868,-21.661912655081,108.450098852653
"Melbourne",-76.6,27.7346631088498,-21.6223419054597,108.173407527061
"Melbourne",-76.5,27.6821023313926,-21.5827640160719,107.897142142392
"Melbourne",-76.4,27.6295708259436,-21.5431791233924,107.621302612216
"Melbourne",-76.3,27.577068665812,-21.5035873641449,107.345888848007
