"","location","Parameter","Coefficient","SE","LCI","UCI","RR","RR LCI","RR UCI","t-value","p-value","sig"
"110",,"Sun:public.holYes",-0.17887682331663,0.243194427493547,-0.65552914244482,0.29777549581156,0.836208894491836,0.519167276451024,1.34685937836304,-0.735530107166522,0.46209213,
"111",,"Sat:school.hols3",0.203639082589691,0.124246680849458,-0.039879937073888,0.44715810225327,1.22585564096243,0.960904801268983,1.56386152977371,1.63899012188848,0.10135286,
"112",,"Sat:school.hols4",0.0300840216353431,0.0730984785197728,-0.113186363588086,0.173354406858773,1.03054111806602,0.892984224863512,1.18928752205796,0.41155468957135,0.68070441,
"113",,"Sun:school.hols3",0.204435456647724,0.121900576691443,-0.0344852833621673,0.443356196657616,1.22683226942296,0.966102557363319,1.5579271639703,1.67706718209541,0.093666,"."
"114",,"Sun:school.hols4",0.0906650561652121,0.0735705238095334,-0.0535305208252198,0.234860633155644,1.09490221308854,0.947877010573746,1.26473249467306,1.2323557244194,0.21794291,
"115",,"Sat:day1Yes",0.169437133669829,0.171489469169446,-0.166676049630178,0.505550316969836,1.1846378708566,0.846473782420738,1.65789763866558,0.988032294288638,0.32324135,
"116",,"Sun:day1Yes",-0.199920669217223,0.196925604492742,-0.585887761656777,0.18604642322233,0.818795706205864,0.556611504057689,1.20447817483786,-1.01520911784019,0.31011354,
"117",,"s(date).1",0.0537786231850382,0.0913282273789072,-0.125221413249505,0.232778659619581,1.05525096819714,0.882301527707808,1.26210209425113,,,"***"
"118",,"s(date).2",-0.00829656920079005,0.0809859412690807,-0.167026097342264,0.150432958940684,0.991737752346843,0.846177528064466,1.1623373781619,,,
"119",,"s(date).3",0.110395108494854,0.0686459504962387,-0.0241484821622934,0.244938699152001,1.11671920855009,0.976140759506238,1.27754299633544,,,
"120",,"s(date).4",-0.0574828166348497,0.129509956332168,-0.311317666685253,0.196352033415554,0.944138113716996,0.732481154047088,1.21695523884535,,,
"121",,"s(date).5",-0.0504687585349014,0.0852103403968511,-0.217477956823128,0.116540439753325,0.950783632081994,0.804545339459584,1.1236029477745,,,
"122",,"s(date).6",0.131911074720295,0.076316663769011,-0.0176668376872192,0.281488987127809,1.14100685040241,0.982488305913945,1.32510140306877,,,"."
"123",,"s(date).7",0.0268958813104225,0.0702162169507,-0.1107253750436,0.164517137664445,1.02726084014265,0.895184555194659,1.17882377166474,,,
"124",,"s(date).8",0.247496084286345,0.113247162416216,0.0255357245992048,0.469456443973486,1.28081434707167,1.02586455421586,1.5991247430501,,,
"125",,"s(date).9",0.0721301941851133,0.0812371299405719,-0.0870916547058081,0.231352043076035,1.07479526704899,0.916593081713825,1.26030284225032,,,
"126",,"s(date).10",0.00797893603817493,0.0772005390492428,-0.143331340085419,0.159289212161769,1.00801085257853,0.86646692610185,1.17267705010665,,,
"127",,"s(date).11",0.0801826195272062,0.0655155407803277,-0.0482254808299013,0.208590719884314,1.08348491511194,0.952918897907792,1.23194068650816,,,
"128",,"s(date).12",0.192473167054127,0.101098236054023,-0.00567573451228717,0.390622068620541,1.21224397519406,0.994340342039047,1.47789986312009,,,
"129",,"s(date).13",0.113093332820646,0.0795474415692447,-0.0428167877173777,0.26900345335867,1.11973643623169,0.958086907277318,1.30865966030985,,,
"130",,"s(date).14",0.124098902324701,0.078233984488792,-0.0292368896403968,0.277434694289798,1.1321278355371,0.971186373223854,1.31973992977606,,,
"131",,"s(date).15",0.0739173813969662,0.0698934739728813,-0.0630713103442688,0.210906073138201,1.07671784489716,0.93887651969406,1.23479636906647,,,
"132",,"s(date).16",-0.203491354846854,0.100533753215177,-0.400533890379237,-0.0064488193144697,0.815877257676026,0.669962264128708,0.993571929694643,,,
"133",,"s(date).17",-0.0344106077064935,0.0813757774045652,-0.19390420063339,0.125082985220403,0.966174704399018,0.823736813953798,1.1332424915428,,,
"134",,"s(date).18",0.0773295515181851,0.0808346898345131,-0.0811035292589265,0.235762632295297,1.08039806455358,0.922098222357153,1.2658737969446,,,
"135",,"s(date).19",0.0387212439740217,0.0736530714293402,-0.105636123378241,0.183078611326285,1.03948068175609,0.899751987230313,1.20090880940453,,,
"136",,"s(date).20",0.0181124977479738,0.0880072260703049,-0.154378495729098,0.190603491225046,1.01827752387475,0.856947608611056,1.20997958942799,,,
"137",,"s(date).21",0.0089797031314432,0.0796855641468403,-0.14720113268412,0.165160538947006,1.00902014161684,0.863120358242287,1.17958247243969,,,
"138",,"s(date).22",-0.0350807218822409,0.0844037535706112,-0.200509039040633,0.130347595276151,0.965527473916733,0.818314093217963,1.13922430349702,,,
"139",,"s(date).23",0.0941699140707284,0.0742304546183915,-0.0513191035373539,0.239658931678811,1.09874642253458,0.949975481624087,1.27081564144017,,,
"140",,"s(date).24",0.0892578166854914,0.0791307759381052,-0.0658356542219035,0.244351287592886,1.09336250708947,0.936284726089833,1.27679277317857,,,
"141",,"s(date).25",-0.0479974696306721,0.0801887638216987,-0.20516455868599,0.109169619424646,0.953136198861056,0.814513270149022,1.11535151958063,,,
"142",,"s(date).26",-0.140027715796299,0.08092162611022,-0.298631188542746,0.0185757569501485,0.869334140776945,0.741832955481802,1.01874935959074,,,
"143",,"s(date).27",0.0419944405018937,0.0758873715541265,-0.106742074625604,0.190730955629391,1.042888680797,0.89875745545092,1.21013382858542,,,
"144",,"s(date).28",-0.0733854903672293,0.0773283332051156,-0.224946238433769,0.07817525769931,0.929242546922229,0.798559149395958,1.08131215034437,,,"."
"145",,"s(date).29",0.0624185429567614,0.0760371632913036,-0.0866115585807846,0.211448644494307,1.06440775187819,0.917033240151305,1.23546651599178,,,
"146",,"s(date).30",0.011259832501805,0.0814310152276091,-0.148342024568842,0.170861689572452,1.0113234630145,0.862136192749995,1.18632665632706,,,
"147",,"s(date).31",0.0577121145729519,0.0820278537552333,-0.103059524516424,0.218483753662328,1.05940996311552,0.902073276407829,1.24418880295155,,,
"148",,"s(date).32",0.0349821722565064,0.0687263614422282,-0.0997190209587431,0.169683365471756,1.03560124620167,0.905091694107623,1.18492960228948,,,"***"
"149",,"s(date).33",0.10138993491128,0.0745444168121022,-0.044714437288982,0.247494307111543,1.10670810176277,0.956270518048364,1.28081207084271,,,
"150",,"s(date).34",0.047179463585318,0.0812486694961543,-0.112065002418942,0.206423929589578,1.04831012569279,0.893986144349746,1.22927421926587,,,
"151",,"s(date).35",-0.0992880626051694,0.0913871172114862,-0.278403520990623,0.0798273957802839,0.905481834995148,0.756991297997444,1.08310010389175,,,
"152",,"s(date).36",-0.051864321197585,0.0687901370855233,-0.186690512376784,0.0829618699816137,0.949457679385009,0.829700478683202,1.08650037947895,,,
