"","Number of outcomes","b1","b2","AIC","Dispersion parameter"
"Melbourne",2365,-0.622395050541689,-0.120164365627615,9093.31505598546,0.5185278282477
"Sydney",2363,-0.452308897762745,1.12841080679026,9042.23533837266,0.560434584644134
"",4728,,,18135.5503943581,
