"","Number of outcomes","b1","b2","AIC","Dispersion parameter"
"Melbourne",2365,-0.551523239800124,-0.11114924462674,33448.3475732696,11.551507665919
"Sydney",2363,-0.599021888567215,1.40442634059791,33387.1653810165,19.5751197980107
"",4728,,,66835.5129542861,
