"","Non-heatwave days","Heatwaves","Low-intensity heatwaves","Severe heatwaves","Extreme heatwaves"
"Total","665 (-11,547 to 12,691)","855 (103 to 1,582)","278 (36 to 553)","417 (9 to 805)","160 (-33 to 307)"
"Melbourne","-2,076 (-12,643 to 8,167)","136 (-86 to 360)","91 (-79 to 273)","32 (-48 to 117)","13 (-91 to 105)"
"Sydney","2,741 (-3,119 to 8,766)","719 (-18 to 1,397)","187 (14 to 382)","385 (-11 to 759)","147 (-23 to 255)"
