"","location","Parameter","Coefficient","SE","LCI","UCI","RR","RR LCI","RR UCI","t-value","p-value","sig"
"21",,"school.hols3",-0.0236335915345916,0.0172187802744827,-0.0573817807302863,0.0101145976611031,0.976643494650326,0.944233510384512,1.01016592310347,-1.37254736734259,0.17002822,
"22",,"school.hols4",0.00537813372160767,0.0118348735930238,-0.0178177922823031,0.0285740597255184,1.00539262184415,0.98234000598311,1.02898621444928,0.454431023646749,0.64956192,
"23",,"day1Yes",0.00677312441758265,0.0128625710395609,-0.0184370515685447,0.03198330040371,1.006796113899,0.981731871128171,1.03250026282359,0.526576249550016,0.59853916,
"24",,"sholXmas period",-0.0140324185763475,0.0157852686426796,-0.044970976602289,0.016906139449594,0.986065576902508,0.956025228530876,1.01704985698573,-0.888956589462607,0.37412027,
"25",,"sholNYE",-0.0376961982925143,0.0266088779841012,-0.0898486408103734,0.0144562442253448,0.963005459157986,0.914069527624234,1.01456124106712,-1.41667748317076,0.15671398,
"26",,"sholNYD",0.00923885760251968,0.0268664668384495,-0.0434184497926809,0.0618961649977203,1.0092816675843,0.957510636098006,1.06385187393101,0.343880632242185,0.7309678,
"27",,"shol2-4 Jan",-0.00430997838251697,0.0148318601315023,-0.0333798900639969,0.024759933298963,0.995699296245046,0.967171071110741,1.02506900604905,-0.290589200835487,0.77139197,
"28",,"sholDay before Melbourne Cup",-0.0322146586598397,0.0241853036988698,-0.0796169828647879,0.0151876655451085,0.968298706066234,0.923469983485307,1.01530358423876,-1.3319931418246,0.18299569,
"29",,"sholXmas Day or Eve",-0.00272680510568,0.0204378911054954,-0.0427843355924025,0.0373307253810425,0.997276909250487,0.958117999737876,1.03803626901519,-0.133419103350972,0.89387372,
"30",,"ns(Date, 4 * .no.years)1",-4.23383219577013,0.439416848281972,-5.09507339260289,-3.37259099893736,0.0144967296587426,0.006126856952369,0.0343006491635829,-9.63511575016644,0,"***"
"31",,"ns(Date, 4 * .no.years)2",-4.19065970396678,0.519276019126386,-5.20842199948983,-3.17289740844373,0.0151362961040119,0.00547029901510203,0.0418820724636478,-8.0701968695127,0,"***"
"32",,"ns(Date, 4 * .no.years)3",-5.0174633553784,0.444978548126468,-5.8896052835992,-4.1453214271576,0.00662130131307963,0.00276806908357503,0.0158383442590846,-11.2757421149938,0,"***"
"33",,"ns(Date, 4 * .no.years)4",-4.15778360840052,0.506753377788486,-5.15100197790997,-3.16456523889107,0.0156421887438019,0.00579359676162718,0.0422324988713922,-8.20474769511245,0,"***"
"34",,"ns(Date, 4 * .no.years)5",-4.345063143262,0.46434177166804,-5.25515629224888,-3.43496999427512,0.0129706892102827,0.00522053029979283,0.0322263771932175,-9.35746772824976,0,"***"
"35",,"ns(Date, 4 * .no.years)6",-4.31747300675775,0.496358091246723,-5.29031698903638,-3.34462902447913,0.0133335347585689,0.00504016233024105,0.0352732982609036,-8.69830286419504,0,"***"
"36",,"ns(Date, 4 * .no.years)7",-4.3391458606553,0.511243552809846,-5.3411648114909,-3.3371269098197,0.0130476679718746,0.00479028767720598,0.035538917696813,-8.48743389878839,0,"***"
"37",,"ns(Date, 4 * .no.years)8",-4.27530529514871,0.494680478015201,-5.24486121591356,-3.30574937438385,0.0139078020862263,0.00527455366793526,0.036671720688996,-8.6425591571805,0,"***"
"38",,"ns(Date, 4 * .no.years)9",-4.37865689738362,0.470521121714962,-5.30086134991033,-3.45645244485691,0.0125421927654705,0.00498729624910537,0.0315414588404365,-9.30597309090872,0,"***"
"39",,"ns(Date, 4 * .no.years)10",-4.32823592162496,0.489987200596244,-5.2885931876792,-3.36787865557072,0.0131907965764354,0.00504885806160982,0.0344626670422619,-8.83336527231348,0,"***"
"40",,"ns(Date, 4 * .no.years)11",-4.70505486255575,0.539682801095324,-5.76281371577828,-3.64729600933322,0.0090494177300989,0.00314225772799961,0.0260615036520132,-8.71818566944604,0,"***"
"41",,"ns(Date, 4 * .no.years)12",-4.24203636181756,0.491187664858464,-5.20474649459048,-3.27932622904464,0.0143782826254142,0.00549044212129901,0.0376536181766313,-8.63628438845244,0,"***"
"42",,"ns(Date, 4 * .no.years)13",-4.40470262258735,0.47243004917008,-5.33064850417519,-3.47875674099951,0.0122197397491707,0.00484092963100632,0.0308457364430685,-9.32350224191944,0,"***"
"43",,"ns(Date, 4 * .no.years)14",-4.33556950853304,0.488073038486046,-5.29217508579073,-3.37896393127536,0.0130944145682356,0.00503080591622703,0.0340827485178387,-8.88303423188782,0,"***"
"44",,"ns(Date, 4 * .no.years)15",-4.44254509161819,0.53521028160156,-5.49153796771279,-3.3935522155236,0.0117659549471507,0.00412150056257737,0.0335891488346198,-8.3005600683237,0,"***"
