"","Number of outcomes","b1","b2","AIC","Dispersion parameter"
"Melbourne",,0.0782187754329801,-0.0235794700740994,19504.1906974563,1.17866695639263
"Sydney",,-0.291619577798391,0.344157529997935,19386.8593720891,1.12946877696141
"",,,,38891.0500695454,
